Constituency,Caste Category,Winner_Political_Party,Winner_Votes,RunnerUp_Political_Party,RunnerUp_Votes,Margin_Winner_VS_RunnerUp_Votes,Others_Votes,Total_Votes_Pooled,Total_Electors,Margin_Electors_VS_Pooled,Religion_won,,,,,,,,,
ArunachalWest,ST,INC,140443,BharatiyaJanataParty,139129,1314,14395,293967,309922,15955,Others,,,,,,,,,
Asansol,GEN,CommunistPartyof,435161,AllIndiaTrinamool,362205,72956,30986,828352,873243,44891,Hindu,,,,,,,,,
Aska,GEN,BijuJanataDal,419862,INC,187028,232834,33729,640619,690578,49959,Hindu,,,,,,,,,
Attingal,GEN,CommunistPartyof,328036,INC,309695,18341,14587,652318,707493,55175,Others,,,,,,,,,
Aurangabad,GEN,JanataDal,260153,RashtriyaJanataDal,188095,72058,19671,467919,519224,51305,Hindu,,,,,,,,,
Aurangabad,GEN,ShivSena,255896,INC,222882,33014,15054,493832,512513,18681,Hindu,,,,,,,,,
AutonomousDistrict,ST,INC,197835,AutonomousStateDemand,123287,74548,21907,343029,389150,46121,Others,,,,,,,,,
Azamgarh,GEN,BharatiyaJanataParty,247648,BahujanSamajParty,198609,49039,25325,471582,501350,29768,Others,,,,,,,,,
Badaun,GEN,SamajwadiParty,233744,BahujanSamajParty,201202,32542,19640,454586,500658,46072,Hindu,,,,,,,,,
Bagalkot,GEN,BharatiyaJanataParty,413272,INC,377826,35446,26798,817896,857443,39547,Hindu,,,,,,,,,
Baghpat,GEN,RashtriyaLokDal,238638,BahujanSamajParty,175611,63027,29427,443676,483463,39787,Hindu,,,,,,,,,
Baharampur,GEN,INC,541920,RevolutionarySocialistParty,354943,186977,34778,931641,951202,19561,Muslim,,,,,,,,,
Bahraich,SC,INC,160005,BahujanSamajParty,121052,38953,26554,307611,354929,47318,Others,,,,,,,,,
Balaghat,GEN,BharatiyaJanataParty,299959,INC,259140,40819,13388,572487,594170,21683,Hindu,,,,,,,,,
Balasore,GEN,INC,313888,NationalistCongressParty,274988,38900,24412,613288,660116,46828,Hindu,,,,,,,,,
Ballia,GEN,SamajwadiParty,276649,BahujanSamajParty,204094,72555,32938,513681,550264,36583,Muslim,,,,,,,,,
Balurghat,GEN,RevolutionarySocialistParty,388444,AllIndiaTrinamool,383339,5105,23028,794811,805472,10661,Hindu,,,,,,,,,
Banaskantha,GEN,INC,289409,BharatiyaJanataParty,279108,10301,11261,579778,612437,32659,Hindu,,,,,,,,,
Banda,GEN,SamajwadiParty,240948,BahujanSamajParty,206355,34593,20444,467747,503097,35350,Others,,,,,,,,,
BangaloreCentral,GEN,BharatiyaJanataParty,340162,INC,304944,35218,12819,657925,672731,14806,Hindu,,,,,,,,,
BangaloreNorth,GEN,BharatiyaJanataParty,452920,INC,393255,59665,38522,884697,929959,45262,Hindu,,,,,,,,,
BangaloreRural,GEN,JanataDal,493302,BharatiyaJanataParty,363027,130275,18680,875009,918478,43469,Hindu,,,,,,,,,
BangaloreSouth,GEN,BharatiyaJanataParty,437953,INC,400341,37612,13257,851551,881199,29648,Hindu,,,,,,,,,
Bangaon,SC,AllIndiaTrinamool,546596,CommunistPartyof,453770,92826,32878,1033244,1054146,20902,Christian,,,,,,,,,
Banka,GEN,Independent,185762,RashtriyaJanataDal,157046,28716,17564,360372,408734,48362,Hindu,,,,,,,,,
Bankura,GEN,CommunistPartyof,469223,INC,361421,107802,33655,864299,902016,37717,Hindu,,,,,,,,,
Bansgaon,SC,BharatiyaJanataParty,223011,BahujanSamajParty,170224,52787,21885,415120,436848,21728,Hindu,,,,,,,,,
Banswara,ST,INC,413169,BharatiyaJanataParty,213751,199418,13489,640409,666855,26446,Others,,,,,,,,,
Bapatla,SC,INC,460757,TeluguDesamParty,391419,69338,26900,879076,935565,56489,Muslim,,,,,,,,,
Barabanki,SC,INC,328418,SamajwadiParty,160505,167913,28515,517438,563891,46453,Others,,,,,,,,,
Baramati,GEN,NationalistCongressParty,487827,BharatiyaJanataParty,150996,336831,14247,653070,712812,59742,Others,,,,,,,,,
Baramulla,GEN,JammuKashmir,203022,JammuandKashmirParty,138208,64814,34671,375901,392685,16784,Hindu,,,,,,,,,
Barasat,GEN,AllIndiaTrinamool,522530,AllIndiaForward,399629,122901,28365,950524,1000804,50280,Others,,,,,,,,,
BardhamanPurba,SC,CommunistPartyof,531987,AllIndiaTrinamool,472568,59419,31857,1036412,1087537,51125,Christian,,,,,,,,,
Bardhaman,GEN,CommunistPartyof,573399,INC,465162,108237,23080,1061641,1091666,30025,Muslim,,,,,,,,,
Bardoli,ST,INC,398430,BharatiyaJanataParty,339445,58985,21458,759333,802336,43003,Christian,,,,,,,,,
Bareilly,GEN,INC,220976,BharatiyaJanataParty,211638,9338,27075,459689,484837,25148,Hindu,,,,,,,,,
Bargarh,GEN,INC,397375,BijuJanataDal,298931,98444,24586,720892,773515,52623,Others,,,,,,,,,
Barmer,GEN,INC,416497,BharatiyaJanataParty,297391,119106,28179,742067,777538,35471,Hindu,,,,,,,,,
Barpeta,GEN,INC,322137,AsomGanaParishad,291708,30429,29425,643270,677250,33980,Hindu,,,,,,,,,
Barrackpore,GEN,AllIndiaTrinamool,428699,CommunistPartyof,372675,56024,28418,829792,879725,49933,Others,,,,,,,,,
Basirhat,GEN,AllIndiaTrinamool,479650,CommunistPartyof,419267,60383,27547,926464,954034,27570,Others,,,,,,,,,
Bastar,ST,BharatiyaJanataParty,249373,INC,149111,100262,21392,419876,466198,46322,Hindu,,,,,,,,,
Basti,GEN,BahujanSamajParty,268666,SamajwadiParty,163456,105210,12347,444469,501326,56857,Muslim,,,,,,,,,
Bathinda,GEN,ShiromaniAkaliDal,529472,INC,408524,120948,30296,968292,996049,27757,Christian,,,,,,,,,
Beed,GEN,BharatiyaJanataParty,553994,NationalistCongressParty,413042,140952,26708,993744,1051652,57908,Hindu,,,,,,,,,
Begusarai,GEN,JanataDal,205680,CommunistPartyof,164843,40837,30291,400814,434034,33220,Others,,,,,,,,,
Belgaum,GEN,BharatiyaJanataParty,384324,INC,265637,118687,35606,685567,696165,10598,Hindu,,,,,,,,,
Bellary,ST,BharatiyaJanataParty,402213,INC,399970,2243,34167,836350,873785,37435,Hindu,,,,,,,,,
Berhampur,GEN,BijuJanataDal,319839,INC,262552,57287,38215,620606,664795,44189,Hindu,,,,,,,,,
Betul,ST,BharatiyaJanataParty,334939,INC,237622,97317,14417,586978,627203,40225,Hindu,,,,,,,,,
Bhadohi,GEN,BahujanSamajParty,195808,SamajwadiParty,182845,12963,28903,407556,426137,18581,Hindu,,,,,,,,,
Bhadrak,SC,BijuJanataDal,416808,INC,361870,54938,17554,796232,853147,56915,Muslim,,,,,,,,,
Bhagalpur,GEN,BharatiyaJanataParty,228384,RashtriyaJanataDal,172573,55811,28564,429521,457316,27795,Hindu,,,,,,,,,
Bhandara,GEN,NationalistCongressParty,489814,Independent,237899,251915,38811,766524,787672,21148,Christian,,,,,,,,,
Bharatpur,SC,INC,301434,BharatiyaJanataParty,219980,81454,13078,534492,588707,54215,Muslim,,,,,,,,,
Bharuch,GEN,BharatiyaJanataParty,311019,INC,283787,27232,30299,625105,669773,44668,Others,,,,,,,,,
Bhavnagar,GEN,BharatiyaJanataParty,213376,INC,207483,5893,23701,444560,491393,46833,Hindu,,,,,,,,,
Bhilwara,GEN,INC,413128,BharatiyaJanataParty,277760,135368,35999,726887,737202,10315,Hindu,,,,,,,,,
Bhind,SC,BharatiyaJanataParty,227365,INC,208479,18886,12078,447922,493132,45210,Hindu,,,,,,,,,
Bhiwandi,GEN,INC,182789,BharatiyaJanataParty,141425,41364,10216,334430,348235,13805,Muslim,,,,,,,,,
BhiwaniMahendragarh,GEN,INC,302817,IndianNationalLok,247240,55577,32686,582743,627756,45013,Hindu,,,,,,,,,
Bhongir,GEN,INC,504103,CommunistPartyof,364215,139888,24704,893022,949392,56370,Others,,,,,,,,,
Bhopal,GEN,BharatiyaJanataParty,335678,INC,270521,65157,24221,630420,677271,46851,Hindu,,,,,,,,,
Bhubaneswar,GEN,BijuJanataDal,400472,INC,147712,252760,13522,561706,607060,45354,Muslim,,,,,,,,,
Bidar,GEN,INC,337957,BharatiyaJanataParty,298338,39619,30852,667147,710223,43076,Muslim,,,,,,,,,
Bijapur,SC,BharatiyaJanataParty,308939,INC,266535,42404,30483,605957,651119,45162,Hindu,,,,,,,,,
Bijnor,GEN,RashtriyaLokDal,244587,BahujanSamajParty,216157,28430,38926,499670,526702,27032,Christian,,,,,,,,,
Bikaner,SC,BharatiyaJanataParty,244537,INC,224962,19575,30145,499644,529491,29847,Christian,,,,,,,,,
Bilaspur,GEN,BharatiyaJanataParty,347930,INC,327791,20139,10739,686460,731212,44752,Others,,,,,,,,,
Birbhum,GEN,AllIndiaTrinamool,486553,CommunistPartyof,425034,61519,10450,922037,968378,46341,Others,,,,,,,,,
Bishnupur,SC,CommunistPartyof,541075,AllIndiaTrinamool,411709,129366,35036,987820,1032970,45150,Others,,,,,,,,,
Bolangir,GEN,BijuJanataDal,430150,INC,339315,90835,36617,806082,838863,32781,Hindu,,,,,,,,,
Bolpur,SC,CommunistPartyof,538383,INC,411501,126882,38249,988133,1025196,37063,Muslim,,,,,,,,,
Bulandshahr,SC,SamajwadiParty,236257,BharatiyaJanataParty,170192,66065,13077,419526,434648,15122,Hindu,,,,,,,,,
Buldhana,GEN,ShivSena,353671,NationalistCongressParty,325593,28078,25896,705160,739763,34603,Hindu,,,,,,,,,
Buxar,GEN,RashtriyaJanataDal,132614,BharatiyaJanataParty,130376,2238,19433,282423,337441,55018,Others,,,,,,,,,
Chalakudy,GEN,INC,399035,CommunistPartyof,327356,71679,33522,759913,780515,20602,Hindu,,,,,,,,,
Chamarajanagar,SC,INC,369970,BharatiyaJanataParty,365968,4002,13259,749197,772366,23169,Muslim,,,,,,,,,
Chandauli,GEN,SamajwadiParty,180114,BahujanSamajParty,179655,459,27431,387200,419157,31957,Others,,,,,,,,,
Chandigarh,GEN,INC,161042,BharatiyaJanataParty,102075,58967,12905,276022,329416,53394,Hindu,,,,,,,,,
ChandniChowk,GEN,INC,465713,BharatiyaJanataParty,265003,200710,24592,755308,801534,46226,Muslim,,,,,,,,,
Chandrapur,GEN,BharatiyaJanataParty,301467,INC,268972,32495,36930,607369,666449,59080,Hindu,,,,,,,,,
Chatra,GEN,Independent,108336,INC,92158,16178,24408,224902,262193,37291,Hindu,,,,,,,,,
ChennaiCentral,GEN,DravidaMunnetraKazhagam,285783,AllIndiaAnnaKazhagam,252329,33454,36350,574462,601484,27022,Muslim,,,,,,,,,
ChennaiNorth,GEN,DravidaMunnetraKazhagam,281055,CommunistPartyof,261902,19153,12874,555831,576457,20626,Hindu,,,,,,,,,
ChennaiSouth,GEN,AllIndiaAnnaKazhagam,308567,DravidaMunnetraKazhagam,275632,32935,38823,623022,656686,33664,Muslim,,,,,,,,,
Chevella,GEN,INC,420807,TeluguDesamParty,402275,18532,29733,852815,908142,55327,Christian,,,,,,,,,
Chhindwara,GEN,INC,409736,BharatiyaJanataParty,288516,121220,33181,731433,781355,49922,Hindu,,,,,,,,,
ChhotaUdaipur,ST,BharatiyaJanataParty,353534,INC,326536,26998,25584,705654,738263,32609,Hindu,,,,,,,,,
Chidambaram,SC,ViduthalaiChiruthaigalKatchi,428804,PattaliMakkalKatchi,329721,99083,32580,791105,829028,37923,Christian,,,,,,,,,
Chikballapur,GEN,INC,390500,BharatiyaJanataParty,339119,51381,26864,756483,808010,51527,Hindu,,,,,,,,,
Chikkodi,GEN,BharatiyaJanataParty,438081,INC,382794,55287,28691,849566,873048,23482,Hindu,,,,,,,,,
Chitradurga,SC,BharatiyaJanataParty,370920,INC,235349,135571,37076,643345,697851,54506,Hindu,,,,,,,,,
Chittoor,SC,TeluguDesamParty,434376,INC,423717,10659,33636,891729,925195,33466,Hindu,,,,,,,,,
Chittorgarh,GEN,INC,399663,BharatiyaJanataParty,326885,72778,24698,751246,768427,17181,Hindu,,,,,,,,,
Churu,GEN,BharatiyaJanataParty,376708,INC,364268,12440,27143,768119,793756,25637,Others,,,,,,,,,
Coimbatore,GEN,CommunistPartyof,293165,INC,254501,38664,10346,558012,593576,35564,Christian,,,,,,,,,
CoochBehar,SC,AllIndiaForward,500677,AllIndiaTrinamool,466928,33749,20603,988208,1018375,30167,Hindu,,,,,,,,,
Cuddalore,GEN,INC,320473,AllIndiaAnnaKazhagam,296941,23532,15581,632995,684463,51468,Hindu,,,,,,,,,
Cuttack,GEN,BijuJanataDal,465089,INC,228797,236292,28137,722023,741339,19316,Hindu,,,,,,,,,
DadraAndNagarHaveli,ST,BharatiyaJanataParty,51242,INC,50624,618,13459,115325,169927,54602,Hindu,,,,,,,,,
Dahod,ST,INC,250586,BharatiyaJanataParty,192050,58536,10400,453036,481061,28025,Others,,,,,,,,,
DakshinaKannada,GEN,BharatiyaJanataParty,499385,INC,458965,40420,11607,969957,1003985,34028,Hindu,,,,,,,,,
DamanAndDiu,GEN,BharatiyaJanataParty,44546,INC,19708,24838,37505,101759,138452,36693,Hindu,,,,,,,,,
Damoh,GEN,BharatiyaJanataParty,302673,INC,231796,70877,31696,566165,584658,18493,Hindu,,,,,,,,,
Darbhanga,GEN,BharatiyaJanataParty,239268,RashtriyaJanataDal,192815,46453,14915,446998,499727,52729,Christian,,,,,,,,,
Darjeeling,GEN,BharatiyaJanataParty,497649,CommunistPartyof,244360,253289,37937,779946,836375,56429,Muslim,,,,,,,,,
Dausa,ST,Independent,433666,Independent,295907,137759,10821,740394,789351,48957,Christian,,,,,,,,,
Davanagere,GEN,BharatiyaJanataParty,423447,INC,421423,2024,21539,866409,886476,20067,Hindu,,,,,,,,,
Deoria,GEN,BahujanSamajParty,219889,BharatiyaJanataParty,178110,41779,34767,432766,459602,26836,Others,,,,,,,,,
Dewas,SC,INC,376421,BharatiyaJanataParty,360964,15457,26139,763524,815373,51849,Hindu,,,,,,,,,
Dhanbad,GEN,BharatiyaJanataParty,260521,INC,202474,58047,14982,477977,503574,25597,Hindu,,,,,,,,,
Dhar,ST,INC,302660,BharatiyaJanataParty,299999,2661,32192,634851,691547,56696,Christian,,,,,,,,,
Dharmapuri,GEN,DravidaMunnetraKazhagam,365812,PattaliMakkalKatchi,229870,135942,37111,632793,686925,54132,Muslim,,,,,,,,,
Dharwad,GEN,BharatiyaJanataParty,446786,INC,309123,137663,32873,788782,848492,59710,Hindu,,,,,,,,,
Dhaurahra,GEN,INC,391391,BahujanSamajParty,206882,184509,37728,636001,694923,58922,Muslim,,,,,,,,,
Dhenkanal,GEN,BijuJanataDal,398568,INC,211981,186587,34048,644597,688340,43743,Christian,,,,,,,,,
Dhubri,GEN,AllIndiaUnited,540820,INC,356401,184419,13729,910950,966338,55388,Muslim,,,,,,,,,
Dhule,GEN,BharatiyaJanataParty,263260,INC,243841,19419,22525,529626,550814,21188,Hindu,,,,,,,,,
DiamondHarbour,GEN,AllIndiaTrinamool,564612,CommunistPartyof,412923,151689,29874,1007409,1048455,41046,Muslim,,,,,,,,,
Dibrugarh,GEN,INC,359163,AsomGanaParishad,324020,35143,25308,708491,756470,47979,Christian,,,,,,,,,
Dindigul,GEN,INC,361545,AllIndiaAnnaKazhagam,307198,54347,24476,693219,747987,54768,Others,,,,,,,,,
Dindori,ST,BharatiyaJanataParty,281254,NationalistCongressParty,243907,37347,23988,549149,572677,23528,Others,,,,,,,,,
Domariyaganj,GEN,INC,229872,BharatiyaJanataParty,153306,76566,20259,403437,424925,21488,Others,,,,,,,,,
DumDum,GEN,AllIndiaTrinamool,458988,CommunistPartyof,438510,20478,34236,931734,943239,11505,Others,,,,,,,,,
Dumka,ST,JharkhandMuktiMorcha,208518,BharatiyaJanataParty,189706,18812,36738,434962,482805,47843,Hindu,,,,,,,,,
Durg,GEN,BharatiyaJanataParty,283170,INC,273216,9954,19502,575888,620561,44673,Hindu,,,,,,,,,
EastDelhi,GEN,INC,518001,BharatiyaJanataParty,276948,241053,19956,814905,834352,19447,Others,,,,,,,,,
Eluru,GEN,INC,423777,TeluguDesamParty,380994,42783,23900,828671,869355,40684,Others,,,,,,,,,
Ernakulam,GEN,INC,342845,CommunistPartyof,331055,11790,22388,696288,751525,55237,Hindu,,,,,,,,,
Erode,GEN,MarumalarchiDravidaMunnetra,284148,INC,234812,49336,28298,547258,580975,33717,Muslim,,,,,,,,,
Etah,GEN,Independent,275717,BahujanSamajParty,147449,128268,14486,437652,480290,42638,Christian,,,,,,,,,
Etawah,SC,SamajwadiParty,278776,BahujanSamajParty,232030,46746,29709,540515,595291,54776,Christian,,,,,,,,,
Faizabad,GEN,INC,211543,SamajwadiParty,157315,54228,25794,394652,443350,48698,Others,,,,,,,,,
Faridabad,GEN,INC,257864,BharatiyaJanataParty,189663,68201,22095,469622,514771,45149,Hindu,,,,,,,,,
Faridkot,SC,ShiromaniAkaliDal,457734,INC,395692,62042,14675,868101,924562,56461,Hindu,,,,,,,,,
Farrukhabad,GEN,INC,169351,BahujanSamajParty,142152,27199,27459,338962,396673,57711,Hindu,,,,,,,,,
FatehgarhSahib,SC,INC,393557,ShiromaniAkaliDal,359258,34299,18083,770898,810362,39464,Muslim,,,,,,,,,
Fatehpur,GEN,SamajwadiParty,218953,BahujanSamajParty,166725,52228,39990,425668,458672,33004,Muslim,,,,,,,,,
FatehpurSikri,GEN,BahujanSamajParty,209466,INC,199530,9936,34039,443035,472728,29693,Hindu,,,,,,,,,
Ferozpur,GEN,ShiromaniAkaliDal,450900,INC,429829,21071,31570,912299,960671,48372,Christian,,,,,,,,,
Firozabad,GEN,SamajwadiParty,287011,BahujanSamajParty,219710,67301,25310,532031,572281,40250,Muslim,,,,,,,,,
Gadchiroli,ST,INC,321756,BharatiyaJanataParty,293176,28580,34310,649242,707671,58429,Hindu,,,,,,,,,
Gandhinagar,GEN,BharatiyaJanataParty,434044,INC,312297,121747,13625,759966,813966,54000,Muslim,,,,,,,,,
Ganganagar,SC,INC,476554,BharatiyaJanataParty,335886,140668,10290,822730,876429,53699,Hindu,,,,,,,,,
Garhwal,GEN,INC,236949,BharatiyaJanataParty,219552,17397,30055,486556,533167,46611,Muslim,,,,,,,,,
Gauhati,GEN,BharatiyaJanataParty,496047,INC,484192,11855,29831,1010070,1022131,12061,Hindu,,,,,,,,,
GautamBuddhNagar,GEN,BahujanSamajParty,245613,BharatiyaJanataParty,229709,15904,16829,492151,504759,12608,Hindu,,,,,,,,,
Gaya,SC,BharatiyaJanataParty,246255,RashtriyaJanataDal,183802,62453,35820,465877,483179,17302,Hindu,,,,,,,,,
Ghatal,GEN,CommunistPartyof,625923,AllIndiaTrinamool,478739,147184,38204,1142866,1158383,15517,Muslim,,,,,,,,,
Ghaziabad,GEN,BharatiyaJanataParty,359637,INC,268956,90681,20041,648634,673671,25037,Hindu,,,,,,,,,
Ghazipur,GEN,SamajwadiParty,379233,BahujanSamajParty,309924,69309,28139,717296,758857,41561,Christian,,,,,,,,,
Ghosi,GEN,BahujanSamajParty,220695,SamajwadiParty,159750,60945,38166,418611,467850,49239,Muslim,,,,,,,,,
Giridih,GEN,BharatiyaJanataParty,233435,JharkhandMuktiMorcha,138697,94738,24689,396821,431394,34573,Hindu,,,,,,,,,
Godda,GEN,BharatiyaJanataParty,189526,INC,183119,6407,17332,389977,403028,13051,Hindu,,,,,,,,,
Gonda,GEN,INC,155675,BahujanSamajParty,132000,23675,10568,298243,324394,26151,Muslim,,,,,,,,,
Gopalganj,SC,JanataDal,200024,RashtriyaJanataDal,157552,42472,20250,377826,413340,35514,Christian,,,,,,,,,
Gorakhpur,GEN,BharatiyaJanataParty,403156,BahujanSamajParty,182885,220271,25636,611677,652130,40453,Hindu,,,,,,,,,
Gulbarga,SC,INC,345241,BharatiyaJanataParty,331837,13404,20862,697940,717905,19965,Hindu,,,,,,,,,
Guna,GEN,INC,413297,BharatiyaJanataParty,163560,249737,18795,595652,646947,51295,Hindu,,,,,,,,,
Guntur,GEN,INC,403937,TeluguDesamParty,364582,39355,32470,800989,847705,46716,Muslim,,,,,,,,,
Gurdaspur,GEN,INC,447994,BharatiyaJanataParty,439652,8342,19882,907528,951856,44328,Muslim,,,,,,,,,
Gurgaon,GEN,INC,278516,BahujanSamajParty,193652,84864,27244,499412,521221,21809,Others,,,,,,,,,
Gwalior,GEN,BharatiyaJanataParty,252314,INC,225723,26591,31608,509645,552948,43303,Hindu,,,,,,,,,
Hajipur,SC,JanataDal,246715,LokJanshaktiParty,208761,37954,28890,484366,501990,17624,Hindu,,,,,,,,,
Hamirpur,GEN,BharatiyaJanataParty,373598,INC,300866,72732,34086,708550,746021,37471,Hindu,,,,,,,,,
Hamirpur,GEN,BahujanSamajParty,199143,INC,173641,25502,22001,394785,420683,25898,Others,,,,,,,,,
Hardoi,SC,SamajwadiParty,294030,BahujanSamajParty,201095,92935,23039,518164,566162,47998,Others,,,,,,,,,
Haridwar,GEN,INC,332235,BharatiyaJanataParty,127412,204823,37259,496906,506908,10002,Muslim,,,,,,,,,
Hassan,GEN,JanataDal,496429,BharatiyaJanataParty,205316,291113,23190,724935,746218,21283,Others,,,,,,,,,
Hathras,SC,RashtriyaLokDal,247927,BahujanSamajParty,211075,36852,25272,484274,527954,43680,Others,,,,,,,,,
Hatkanangle,GEN,SwabhimaniPaksha,481025,NationalistCongressParty,385965,95060,14696,881686,902827,21141,Others,,,,,,,,,
Haveri,GEN,BharatiyaJanataParty,430293,INC,342373,87920,29642,802308,827035,24727,Hindu,,,,,,,,,
Hazaribagh,GEN,BharatiyaJanataParty,219810,INC,179646,40164,20722,420178,446517,26339,Christian,,,,,,,,,
Hindupur,GEN,TeluguDesamParty,435753,INC,412918,22835,38307,886978,911566,24588,Christian,,,,,,,,,
Hingoli,GEN,ShivSena,340148,NationalistCongressParty,266514,73634,34225,640887,654972,14085,Hindu,,,,,,,,,
Hisar,GEN,HaryanaJanhitCongress,248476,IndianNationalLok,241493,6983,32644,522613,539973,17360,Hindu,,,,,,,,,
Hooghly,GEN,AllIndiaTrinamool,574022,CommunistPartyof,492499,81523,38844,1105365,1161240,55875,Muslim,,,,,,,,,
Hoshangabad,SC,INC,358812,BharatiyaJanataParty,358446,366,33677,750935,777492,26557,Hindu,,,,,,,,,
Hoshiarpur,GEN,AllIndiaTrinamool,477449,CommunistPartyof,440057,37392,11367,928873,962912,34039,Others,,,,,,,,,
Howrah,GEN,AllIndiaMajliseIttehadul,308061,TeluguDesamParty,194196,113865,16273,518530,533079,14549,Others,,,,,,,,,
Hyderabad,GEN,INC,408484,KeralaCongress,333688,74796,39273,781445,840633,59188,Hindu,,,,,,,,,
Idukki,GEN,BharatiyaJanataParty,388662,INC,377182,11480,21902,787746,810522,22776,Hindu,,,,,,,,,
Indore,GEN,INC,230876,CommunistPartyof,199916,30960,20361,451153,494458,43305,Muslim,,,,,,,,,
InnerManipur,GEN,BharatiyaJanataParty,343922,INC,237919,106003,14670,596511,650792,54281,Hindu,,,,,,,,,
